"","label","timeest","eest","ICC","ICC_lower95CI","ICC_higher95CI","ICC2","ICC2_lower95CI","ICC2_higher95CI","delta_CFI"
"1","lh_bankssts",0.0402853959663652,0.00229515185156935,0.946098583292471,0.942097450429246,0.950828213300139,0.972304434302664,0.969992944925651,0.974234052582932,0.000791597695784518
"2","lh_caudalanteriorcingulate",0.0255313181773242,0.000807780061691531,0.969331521741508,0.96371338245654,0.972951524809423,0.984426904748185,0.981405094491972,0.985966943158035,0.00560460810648411
"3","lh_caudalmiddlefrontal",0.18240315072166,0.0115579417915316,0.940411029646343,0.933277886473127,0.946844481806909,0.969290643741402,0.966268217278338,0.972668939718002,-6.66133814775094e-16
"4","lh_cuneus",0.050385678317736,0.00179010169771962,0.965690945162883,0.960437300133994,0.969992767520209,0.982548061825175,0.980491537415062,0.984489763398401,0.000729157067453245
"5","lh_entorhinal",0.00841688081848715,0.00124924135660953,0.870760855906827,0.8614346217184,0.883898669697945,0.930916543949779,0.925065279491359,0.935985546418872,4.48197354941948e-05
"6","lh_fusiform",0.167849094377092,0.00492120557141259,0.971515905379111,0.968955789226597,0.97348346627507,0.985552462316174,0.984166694713689,0.986705550912276,0.00065348928607567
"7","lh_inferiorparietal",0.571294394587785,0.0227070726283144,0.961772699426593,0.958483191052444,0.966382139162356,0.980513898414388,0.97856007437568,0.982065930977359,0.00149410782959236
"8","lh_inferiortemporal",0.275907406779849,0.00993818142693825,0.965232342785893,0.962341211906447,0.967709918693301,0.982309234466296,0.980742309502725,0.984155321106877,0.000338526053690447
"9","lh_isthmuscingulate",0.0303425715773426,0.00153658647622348,0.951799653126297,0.921410015514351,0.966762725642487,0.975307511487559,0.959389371555422,0.982472441735207,0.000348403622037696
"10","lh_lateraloccipital",0.49715626671107,0.0136400432031006,0.973296511861269,0.970253053764626,0.975852796975213,0.98646760739943,0.98501857842442,0.987724149990315,0
"11","lh_lateralorbitofrontal",0.0986364554105832,0.0088103768112733,0.918002451732764,0.911550970390256,0.925751921731741,0.95724892607277,0.952154053262081,0.96173649870455,0.000593264839246377
"12","lh_lingual",0.179887628968233,0.00529280889055139,0.971418099277918,0.964642550226527,0.975174624469049,0.985502049442436,0.982940422387368,0.987580735643666,7.03099737870971e-05
"13","lh_medialorbitofrontal",0.050886600907427,0.00994576254828557,0.836505406278907,0.829765834474509,0.845546065243458,0.910978960908727,0.904533214073348,0.915658789727195,0.000688120442168039
"14","lh_middletemporal",0.23332023405673,0.0123228063680362,0.949834498275516,0.944949364500859,0.955725378166335,0.974272549355047,0.97139819966041,0.97738137373098,-1.33226762955019e-15
"15","lh_parahippocampal",0.00732285410816893,0.000764286465755609,0.905493609419885,0.900058256037786,0.913974358680555,0.950407769529738,0.945722466983164,0.955172958107634,0.00056280269896114
"16","lh_paracentral",0.0339571614460226,0.00189400984141975,0.947170210249639,0.93925666535065,0.954986319478133,0.972869217273753,0.968904664885389,0.97672455966053,0
"17","lh_parsopercularis",0.0939601157382009,0.00469842666150493,0.952376889550327,0.945621358834404,0.959556369501305,0.97560917882681,0.97049176857326,0.979009607333102,0.000128390565199088
"18","lh_parsorbitalis",0.010794524838752,0.000629241411385166,0.944918217196749,0.938407495776466,0.951125673769416,0.971683871554974,0.966965083118983,0.974699850517621,-3.99680288865056e-15
"19","lh_parstriangularis",0.0597798724420717,0.00243500079400846,0.960861436062585,0.956348964177045,0.964152071145554,0.980040277686869,0.977405103967373,0.982386989205923,0
"20","lh_pericalcarine",0.0626530894090701,0.00231270968750773,0.964401119978996,0.96007162047439,0.967722823836458,0.981879034703191,0.979364541104622,0.983619137989245,0.000763171959304754
"21","lh_postcentral",0.312139450414812,0.0184652866887411,0.944146938575301,0.936123655718883,0.951890888147802,0.971271221424901,0.967302489380894,0.974711872668304,0.00175655576500611
"22","lh_posteriorcingulate",0.0410729083858773,0.00149470014077252,0.964886443178109,0.947900820107913,0.975487372110388,0.982130360676646,0.971571443192735,0.987424334209069,0.000360461137767443
"23","lh_precentral",0.346788705345382,0.0271760815258279,0.927329838316603,0.916953365760451,0.937850486397673,0.962294914556135,0.954479135948512,0.967395254360026,-5.55111512312578e-16
"24","lh_precuneus",0.304847944123402,0.00940008243197515,0.970087059782001,0.964660921196375,0.974982123077123,0.984816970197222,0.982075387225438,0.987254240494338,-1.11022302462516e-15
"25","lh_rostralanteriorcingulate",0.0270792267643931,0.00197508332058598,0.932020987082151,0.928370232901198,0.935941962902744,0.964815852260097,0.962276113393266,0.966840538800726,0.000600940897879654
"26","lh_rostralmiddlefrontal",0.691425648649644,0.0462316025328794,0.937326444688551,0.928644041998779,0.943973920589303,0.967649511857885,0.963449403657038,0.971805911627498,3.22970364908803e-05
"27","lh_superiorfrontal",1.07744995100177,0.0495164095709021,0.956062211523563,0.950602411330022,0.960316833437505,0.977537641926115,0.97526662416128,0.979433502046494,0.000266850332106938
