"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0.9787228571042,0.978604422133528,0.997751765783184,0.997648657298472
"2","lh_caudalanteriorcingulate",0.99684755958108,0.997258454114672,0.999312905392224,0.999698988544712
"3","lh_caudalmiddlefrontal",0.972613353569039,0.972527151043952,1,1
"4","lh_cuneus",0.986995017655532,0.987219303238576,0.995492995077683,0.99565365659051
"5","lh_entorhinal",0.991716919512445,0.991913910886155,0.999666764492025,0.999936326906303
"6","lh_fusiform",0.994535149253849,0.994716951614001,0.999816758499285,0.999967842505825
"7","lh_inferiorparietal",0.970600354080686,0.970624028922978,0.999190298194946,0.999236230318785
"8","lh_inferiortemporal",0.989128297398999,0.98904154034546,1,1
"9","lh_isthmuscingulate",0.98469709752394,0.984992052106078,0.997946355256035,0.998322023145026
"10","lh_lateraloccipital",0.974512873428646,0.97459734025612,0.998906836176522,0.999076561245851
"11","lh_lateralorbitofrontal",0.982367096106986,0.982546876999575,0.999550370499796,0.999768413552619
"12","lh_lingual",0.994273831546083,0.99419572248775,0.999140368101828,0.999064014027595
"13","lh_medialorbitofrontal",0.999155247528944,0.999090631892772,0.999890899757387,0.999892325327805
"14","lh_middletemporal",0.942888898525622,0.942822368582822,0.999423218544832,0.999393251969004
"15","lh_parahippocampal",0.994633865645805,0.994486499429696,0.999792843149155,0.999656050311481
"16","lh_paracentral",0.991268070038192,0.99116320437034,0.998570475323782,0.998512795511467
"17","lh_parsopercularis",0.990466926013473,0.990606982590111,0.999606554836916,0.999738133825488
"18","lh_parsorbitalis",0.991722359185593,0.991697490845168,0.99996531771753,0.999940886121567
"19","lh_parstriangularis",0.986302844779505,0.986309235220034,0.999726621293989,0.99974127755432
"20","lh_pericalcarine",0.997375104487337,0.998092264514168,0.997510780020855,0.99824786207866
"21","lh_postcentral",0.990823744683432,0.990995460569869,0.998209100761639,0.998448071365579
"22","lh_posteriorcingulate",0.99099413113719,0.991013882741754,0.998069518958877,0.998080870446134
"23","lh_precentral",0.984349131980993,0.984436640793658,0.99937667621392,0.999529775775689
"24","lh_precuneus",0.98890069514246,0.988852424005436,0.999299279796655,0.999292787159978
"25","lh_rostralanteriorcingulate",0.986740252664473,0.987535996318041,0.998515641694324,0.999367757052158
"26","lh_rostralmiddlefrontal",0.976063760458333,0.975935254299643,1,1
"27","lh_superiorfrontal",0.98802301637126,0.987978866191192,0.999689669812944,0.999684575897001
"28","lh_superiorparietal",0.974269353277168,0.974185251020221,0.996608989434692,0.996578205686139
"29","lh_superiortemporal",0.987183236902908,0.987240453744684,1,1
"30","lh_supramarginal",0.957355003914438,0.95739403735537,0.997196077314745,0.99731821465761
"31","lh_frontalpole",0.952262437904446,0.955088156807807,0.995207659165534,0.995794481081415
"32","lh_temporalpole",0.988945362025009,0.989196868713164,0.999761624635551,0.999569790277442
