"","label","timeest","eest","ICC","ICC_lower95CI","ICC_higher95CI","ICC2","ICC2_lower95CI","ICC2_higher95CI","delta_CFI"
"1","lh_bankssts",0.348220285697302,0.0202456588374199,0.945054192557782,0.941083078651224,0.948997285610718,0.971751038494565,0.969654232213473,0.973518585719304,0.00248926264716787
"2","lh_caudalanteriorcingulate",0.323540341473333,0.00990263737028253,0.970301856693384,0.96768385717108,0.973223330717016,0.984927467293268,0.983641188165031,0.986256263828716,0
"3","lh_caudalmiddlefrontal",2.0708652036187,0.102486032184334,0.952844238659626,0.945590102370398,0.95843663105171,0.975852776926753,0.972658749069878,0.978816118892874,0
"4","lh_cuneus",0.408593162938037,0.0158674987490531,0.962617268969084,0.955424900730425,0.966517994555335,0.980952637412308,0.977221906724014,0.983216267467655,0.00423269861206432
"5","lh_entorhinal",0.143711581013914,0.0280661063277466,0.836613784001388,0.823574309249662,0.846177115300288,0.911039716796924,0.90369416080002,0.917964663842979,0
"6","lh_fusiform",2.19664405653738,0.096057130917869,0.958103074468031,0.954994388910785,0.961312240996435,0.978603309320321,0.976154758546328,0.980196976422522,-5.55111512312578e-16
"7","lh_inferiorparietal",5.37309584253031,0.181497224042165,0.967324838765523,0.964908724434081,0.969596359953718,0.983391066076644,0.982010127778243,0.984688841675404,0.000488151815512317
"8","lh_inferiortemporal",4.0612943768441,0.160893328506736,0.961893373830151,0.959016719395401,0.96499070371133,0.980576612085096,0.978751739791306,0.98234538668002,0
"9","lh_isthmuscingulate",0.262607872894361,0.0112834781923854,0.958803086889692,0.953037724731018,0.964911339730304,0.978968876110559,0.97499225764207,0.982094280715722,0.00158784095059394
"10","lh_lateraloccipital",3.89686896589588,0.14202919481877,0.964834667979437,0.961358625100288,0.968562073769226,0.982102646423697,0.980522761653462,0.983873909294424,0.000656378594304563
"11","lh_lateralorbitofrontal",1.07331178045052,0.0906504206888895,0.922119102664888,0.914714717714621,0.929747645175755,0.959481750347977,0.954760951945396,0.963499624419297,0.000121717984372438
"12","lh_lingual",1.37892828675394,0.0387375075906151,0.972675148300009,0.969310713808075,0.975737864210934,0.986148335237099,0.984791772330201,0.987286604099491,0.000830348242301326
"13","lh_medialorbitofrontal",0.556627322748992,0.0833345684960606,0.869781982902244,0.86190072224248,0.879303310117266,0.930356599184826,0.925244424370659,0.934783064923403,0.000738741312106606
"14","lh_middletemporal",3.50682828449927,0.161873444034409,0.955877185987778,0.950146138493822,0.960255745664115,0.977440907962647,0.975339503442965,0.979465850812866,0.000420284506212232
"15","lh_parahippocampal",0.11670477335489,0.0106114461419894,0.916652833520167,0.909846484611447,0.921655613300698,0.956515251920903,0.953335084741619,0.959647800929638,-1.66533453693773e-15
"16","lh_paracentral",0.34052886659317,0.0261212830062978,0.928756928001167,0.919834166958523,0.936065712566502,0.963062716400965,0.95818291091228,0.966932245594382,0.00104901733983775
"17","lh_parsopercularis",1.02945714922724,0.0509761253529366,0.952818812089303,0.945635549597695,0.960214707311767,0.975839454483324,0.970546563069451,0.980341829310771,0.000229443317098954
"18","lh_parsorbitalis",0.164094657855512,0.0118761635256466,0.93251060924514,0.927485662398984,0.937197950094736,0.965076989097134,0.96201273100712,0.968078253825627,8.24631917877294e-05
"19","lh_parstriangularis",0.651440590517758,0.028565466998777,0.957992334504928,0.952280901355542,0.961306907335273,0.978545541494333,0.975965836213118,0.980979279573883,0.000351966234265921
"20","lh_pericalcarine",0.214935212029914,0.00961897041960547,0.957164144908466,0.954402085338611,0.959746372803749,0.978113402473913,0.976821872625734,0.979505666488154,0.00146864309106454
"21","lh_postcentral",2.77719328858841,0.128167886985403,0.955885730124383,0.949911217665785,0.961254285984048,0.977445374893323,0.974577015110295,0.980538464778785,0.00126390455485248
"22","lh_posteriorcingulate",0.37617786367583,0.0126383200270258,0.967495385848742,0.963808363168752,0.970554424760494,0.983479291221305,0.981212830700161,0.985589235980823,0.00187010074136063
"23","lh_precentral",3.37964876291339,0.17529086792808,0.950690901638015,0.943769179925316,0.956906442242476,0.974722230589441,0.971353493828307,0.977875423451167,0.000363900827510255
"24","lh_precuneus",2.55752767997688,0.114804723805534,0.957039504650305,0.952125841744685,0.9625987264939,0.978048226471967,0.975573733037135,0.980984703011968,0.000762153252314213
"25","lh_rostralanteriorcingulate",0.354000859394939,0.025578063484833,0.93261463705419,0.927918865481472,0.937037613846013,0.96513255219008,0.962716039476885,0.967366190719766,0.000613106560567678
"26","lh_rostralmiddlefrontal",6.74583799838264,0.471791237835479,0.934633489419486,0.926421966365226,0.941355821113884,0.966212460444042,0.960924097084309,0.969801962067862,-8.32667268468867e-15
"27","lh_superiorfrontal",12.0230923337672,0.520724419803982,0.958487561638228,0.95497389677585,0.962496111710569,0.978803830564106,0.976944402616251,0.980789844219752,0.00034206069930276
"28","lh_superiorparietal",5.39548715277784,0.377821150606631,0.934557253700596,0.924435189204317,0.942023500293314,0.966171721386281,0.962217289513926,0.969956281949247,0.00303326785763913
"29","lh_superiortemporal",3.82988073371865,0.128099537230468,0.967635124871466,0.964794175492844,0.969596068597297,0.983551384812095,0.982489130509958,0.984816719973978,-2.55351295663786e-15
"30","lh_supramarginal",6.22261322993437,0.272948252449226,0.957979267352102,0.950989253558581,0.962785722940783,0.978538723525914,0.974857040750794,0.981327083355406,0.00208961662753027
"31","lh_frontalpole",0.030726682215061,0.00794824186674715,0.794485909010851,0.78342416540003,0.803371996673876,0.885480648565632,0.877865521561156,0.891343217386645,0.00529173174404596
