"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0.954894771657149,0.957108469140682,0.997903292126194,0.998940468101663
"2","lh_caudalanteriorcingulate",0.98153207452834,0.981320748628289,0.997682778338442,0.997741175631425
"3","lh_caudalmiddlefrontal",0.940495626665072,0.942947643063277,0.997095494808948,0.997587797576807
"4","lh_cuneus",0.972348365053123,0.972531782374105,0.999029856564046,0.999014146849494
"5","lh_entorhinal",0.907297444738526,0.913871422318789,0.998608373426626,0.997996334786641
"6","lh_fusiform",0.902624302808757,0.911356144315275,0.99124311756185,0.994630798624027
"7","lh_inferiorparietal",0.933249469584838,0.936424226336507,0.999306527849635,0.999857537824506
"8","lh_inferiortemporal",0.93756626600428,0.938384732187733,0.995531066215216,0.995352693619449
"9","lh_isthmuscingulate",0.994731287804783,0.995446094482775,0.999180863778553,0.999822624435778
"10","lh_lateraloccipital",0.924281557531362,0.933409009974508,0.991762930393922,0.998758422830339
"11","lh_lateralorbitofrontal",0.959801530612564,0.961896333757631,1,0.998936435987962
"12","lh_lingual",0.96385570912077,0.969401278360191,0.994611132268233,0.998844586679622
"13","lh_medialorbitofrontal",0.977635827045536,0.978808739298056,1,1
"14","lh_middletemporal",0.9181738968063,0.921253915947097,0.995194022556404,0.996341626271967
"15","lh_parahippocampal",0.989696906211274,0.989395750456434,0.999524658901052,0.999033428297647
"16","lh_paracentral",0.95975244139964,0.961578929478616,0.997971684538396,0.999306215562852
"17","lh_parsopercularis",0.939766022067885,0.943341390303494,0.997711491837265,0.999850919194572
"18","lh_parsorbitalis",0.950339960212597,0.953120998698828,0.994728374863731,0.996076742700942
"19","lh_parstriangularis",0.947320621384542,0.949030677642801,1,1
"20","lh_pericalcarine",0.964622642897884,0.965893871926954,0.998444138345224,0.999862768480047
"21","lh_postcentral",0.959065148561637,0.961627797742281,0.995691310144721,0.997541428222922
"22","lh_posteriorcingulate",0.990518352199056,0.993793783911666,0.996507593179421,0.999779944324118
