"","label","timeest","eest","ICC","ICC_lower95CI","ICC_higher95CI","ICC2","ICC2_lower95CI","ICC2_higher95CI","delta_CFI"
"1","lh_bankssts",0.0196366361730429,0.00361303281810895,0.844598526564659,0.826713660033803,0.85869644358106,0.91575423471685,0.90592001411049,0.923216479894048,0.000944046337754578
"2","lh_caudalanteriorcingulate",0.0311553698758859,0.00517223421796616,0.857622478911526,0.849095673126715,0.866289144346013,0.923355273199045,0.919148051104069,0.92730671886667,0.00100813752123008
"3","lh_caudalmiddlefrontal",0.0121985296965779,0.00502540569603207,0.708231273429634,0.688713052359243,0.726272252661336,0.829206440438706,0.810660450743148,0.841918532782148,0
"4","lh_cuneus",0.0154654718588338,0.00248495196163597,0.861565833403764,0.853527790255426,0.868114806843478,0.925644791736462,0.922380554372011,0.930030798175432,0.00173904048767293
"5","lh_entorhinal",0.0459233754855804,0.0255560019403189,0.642470277992949,0.621312040682563,0.661146924715024,0.78232218404984,0.769534690600626,0.795312747120553,0.00136923754028817
"6","lh_fusiform",0.00919766380228715,0.00286208394909679,0.762674642281108,0.748710699882352,0.776019487958974,0.865375743316007,0.85571267635766,0.875781303615454,7.4421074828912e-05
"7","lh_inferiorparietal",0.00937032777714088,0.00413277045323565,0.693939095848494,0.67373185463535,0.709179795129463,0.819329657700785,0.799500118855618,0.832548732569387,0.0130726198273529
"8","lh_inferiortemporal",0.0129424254921435,0.00445840624257088,0.743782003610987,0.728810132985466,0.75946511513063,0.853069618486152,0.841943146726255,0.865129584288409,0.000410891743210184
"9","lh_isthmuscingulate",0.0172638188042665,0.00238198947402497,0.878753297381149,0.87232946788846,0.884394407920113,0.935470301423174,0.932380351058112,0.939628156026059,0.000169180412128878
"10","lh_lateraloccipital",0.0130870391067366,0.00244369556269283,0.842654219861023,0.832316906377842,0.850560904561772,0.91461172972666,0.910759042416535,0.919857555295171,0.00145005477114502
"11","lh_lateralorbitofrontal",0.0093974280840767,0.00426835592139119,0.68766110164749,0.67174439324303,0.701671266570872,0.814931258789526,0.804794188434656,0.828825776288126,-2.77555756156289e-15
"12","lh_lingual",0.013129102027191,0.00216079951222996,0.858677996934192,0.849835972225252,0.866921665356109,0.923970079220233,0.917999235382739,0.928416646866082,0.000198317982044727
"13","lh_medialorbitofrontal",0.0108131765300987,0.00559421819628481,0.659042871243346,0.645104989876026,0.673273485327938,0.794487199390112,0.785161197656829,0.806206851199608,0.00381054101193934
"14","lh_middletemporal",0.018233462943987,0.00631198250728652,0.7428450618337,0.725972006467066,0.763180215834368,0.852454412102009,0.837326183515674,0.865572968240245,0.00511937868041212
"15","lh_parahippocampal",0.0519156421251501,0.00548238172749662,0.904484834851264,0.89750090499858,0.91062815262236,0.949848236608233,0.946615440802066,0.953293542317535,-2.1094237467878e-15
"16","lh_paracentral",0.0147798039375462,0.00367837938881521,0.800718233003903,0.786055316771913,0.810417790271168,0.889333236346664,0.882320937822576,0.895848362107539,-8.88178419700125e-16
"17","lh_parsopercularis",0.0111629046795843,0.00358550253577227,0.756888829863681,0.739361084201382,0.772692999109159,0.861627781627078,0.852816404319726,0.87027202881334,-2.1094237467878e-15
"18","lh_parsorbitalis",0.0221188990871284,0.0060897429385644,0.784117826975939,0.772612947984722,0.798070635228181,0.8789983624529,0.869504602226921,0.887888254104306,0.00217934616435411
"19","lh_parstriangularis",0.0121590460472461,0.00437566961641136,0.735364689334883,0.718163947434768,0.753815590194599,0.847507154492154,0.836120716331031,0.86088869959415,0.000526438110972194
"20","lh_pericalcarine",0.0178313920424213,0.00362727111637769,0.830964720889877,0.821734925918302,0.840857957864132,0.907686907070401,0.90081592464436,0.913909065626242,-1.55431223447522e-15
"21","lh_postcentral",0.0142626928507758,0.00319435718594218,0.81701620954151,0.797600373984311,0.831801888383303,0.899300251371883,0.889731146828597,0.90711127884144,0.00622791775305542
"22","lh_posteriorcingulate",0.0137885861771941,0.00205154180222679,0.870484518503127,0.858908973011871,0.878987147563909,0.930761921360539,0.925738466159502,0.935112668405899,0.000128806628458933
"23","lh_precentral",0.0125500389686059,0.0048054622982118,0.723115902886686,0.704386305059455,0.741410564834916,0.839320427042699,0.823474115023244,0.850602393560342,-3.5527136788005e-15
"24","lh_precuneus",0.00862341339916157,0.00206800132941377,0.80657364980085,0.79480082621629,0.817483262018672,0.89295171905966,0.887569130108933,0.899940863243809,-3.33066907387547e-15
"25","lh_rostralanteriorcingulate",0.0203725219273515,0.0096035569565119,0.679625977976671,0.665407758224393,0.696270225955464,0.809261277335074,0.798576737481735,0.820008600260078,0.00475559637966605
"26","lh_rostralmiddlefrontal",0.00871200947598561,0.00410462880943388,0.679742166547417,0.659044583249765,0.700280142427419,0.809351506469507,0.789494609904022,0.822782477950823,0.0015878260665213
"27","lh_superiorfrontal",0.0112717926667369,0.00364677559120759,0.755554586193913,0.736921554808086,0.772496157983486,0.860765815601722,0.849350315625252,0.869434877969503,0.000639003828397433
"28","lh_superiorparietal",0.00876504647564343,0.00362335057262916,0.70752062930253,0.692214690197451,0.722282613886413,0.828729055278748,0.81933974316167,0.837844801382621,0.004155264503786
"29","lh_superiortemporal",0.0169915148761042,0.00405906740927662,0.807175528246762,0.793595872413478,0.819582764272268,0.89330174298236,0.883793785964865,0.901905515037515,0.0012448475802127
"30","lh_supramarginal",0.0124290405398573,0.00543809240183089,0.695637099719421,0.674927161184798,0.717902767441337,0.820503418077605,0.806149247392342,0.836704120443368,0.0202579521772911
