"","label","timeest","eest","ICC","ICC_lower95CI","ICC_higher95CI","ICC2","ICC2_lower95CI","ICC2_higher95CI","delta_CFI"
"1","lh_frontal",0.738953658383524,0.0289929937803175,0.962246083502514,0.95884884451776,0.965821903027231,0.980759853526166,0.979189400894723,0.982578503520933,0.00208601200812153
"2","lh_insula",0.706032792048982,0.0836652010144881,0.894054180522954,0.888684795266115,0.901573673587941,0.944064008520874,0.940838695425819,0.946649928519805,5.55376446109701e-05
"3","lh_occipital",0.771273707615332,0.0227620037034499,0.971333778343992,0.968392552588095,0.974342330177014,0.985458459159896,0.983421096833894,0.986714635542116,0.000713863774062129
"4","lh_parietal",1.51457752937243,0.063302099953721,0.959881540532496,0.956250924830883,0.963677886840216,0.979530166724712,0.977111578725057,0.981245732638102,-3.10862446895044e-15
"5","lh_temporal",0.567282552277941,0.01904909754813,0.967511394696533,0.964246110860873,0.970974801342161,0.983487468633025,0.981845115292947,0.985386438780978,0.00156930345835848
"6","rh_frontal",0.734794587893809,0.034782599020993,0.954802975435856,0.950968367189806,0.958620473360172,0.976878987895485,0.975193350635927,0.97848666676554,0.00203861762506108
"7","rh_insula",0.663064870670698,0.0961176135697267,0.873393267672799,0.865684302717215,0.881045449030286,0.932418510481953,0.928542016332607,0.936124989272636,-2.77555756156289e-15
"8","rh_occipital",0.897044077973288,0.0266173397770487,0.97118279570248,0.968252220998048,0.973358025161985,0.985380757388735,0.983717081445165,0.986335039964321,0.00151916051105327
"9","rh_parietal",1.56361308419937,0.0846449809753177,0.948645795968639,0.942555063332254,0.953924235092262,0.973646211149135,0.970689960896541,0.976631685251783,1.74032092581378e-06
"10","rh_temporal",0.528030000014865,0.0179019589627438,0.967208442978371,0.962554844648316,0.971198931373123,0.983330934432349,0.98043964468082,0.985310827855654,0.00180082466138221
