"","label","timeest","eest","ICC","ICC2"
"1","lh_bankssts",0.019358643210992,0.00365209112517811,0.841287502092558,0.913808906943822
"2","lh_caudalanteriorcingulate",0.0294010658476825,0.00508395696087615,0.852574928278302,0.920421885188186
"3","lh_caudalmiddlefrontal",0.0111272638298339,0.0049596310377331,0.691697429580878,0.817757508575919
"4","lh_cuneus",0.0147675342925735,0.00242887617655331,0.85875679224371,0.924020395118244
"5","lh_entorhinal",0.0439749081224383,0.0243037996482776,0.644050093480221,0.783492325133968
"6","lh_fusiform",0.00907374021999108,0.00286713877570733,0.7598888007541,0.863583207035083
"7","lh_inferiorparietal",0.00843089793605058,0.00397712511886396,0.679471491851499,0.809155542744871
"8","lh_inferiortemporal",0.0124636962767318,0.00429051613952453,0.74391418510598,0.853157169999715
"9","lh_isthmuscingulate",0.0167009671756819,0.00239332378988685,0.874657624407078,0.933144101574957
"10","lh_lateraloccipital",0.0094183252493875,0.00241213211802136,0.796108295469081,0.88648968807237
"11","lh_lateralorbitofrontal",0.00872641854912038,0.00416021425156596,0.677168247445959,0.80751876217433
"12","lh_lingual",0.011815568198412,0.00213114276525433,0.847193881711155,0.917282238611629
"13","lh_medialorbitofrontal",0.00980172069964652,0.00554743358058434,0.638583763033171,0.779444197728165
"14","lh_middletemporal",0.0167400066920653,0.00605405182544621,0.734402198678433,0.846866357543494
"15","lh_parahippocampal",0.0505938439936811,0.00539660087404641,0.903615681447158,0.949368882066517
"16","lh_paracentral",0.0139551496338346,0.0036072429742123,0.794604126287468,0.88554969747019
"17","lh_parsopercularis",0.0104582634693,0.00346826618090896,0.750959767578786,0.857774731238758
"18","lh_parsorbitalis",0.0214148741047917,0.00595682282566643,0.782372907284462,0.877900955534384
"19","lh_parstriangularis",0.0119030858006028,0.00427916305202547,0.735564377300348,0.847638475477199
"20","lh_pericalcarine",0.0155274266522259,0.00356370226142035,0.813332030937519,0.89705915757963
"21","lh_postcentral",0.0129967973398815,0.00313500483602508,0.805663074600101,0.892376930323443
"22","lh_posteriorcingulate",0.0132042612667274,0.0020229795759967,0.867147331752927,0.928851227620052
"23","lh_precentral",0.0111949785647564,0.00465630925641551,0.706250412651249,0.827840336423293
"24","lh_precuneus",0.00816760007554198,0.0021079454519011,0.794858049504878,0.885725994930151
"25","lh_rostralanteriorcingulate",0.0176342929679042,0.00926760194947417,0.655503748790298,0.791913573919738
"26","lh_rostralmiddlefrontal",0.00736852717118943,0.00402784261750522,0.646567925384371,0.785362257547775
"27","lh_superiorfrontal",0.0103379557788905,0.00359007047661147,0.742241261557553,0.85205773616925
"28","lh_superiorparietal",0.00789576142381276,0.00345580802710251,0.695565618301012,0.820465521678517
"29","lh_superiortemporal",0.0151446332101095,0.00396844746505839,0.792370077199837,0.884160688309693
"30","lh_supramarginal",0.0105805255729686,0.0052576863377679,0.668037884112172,0.800996797667311
"31","lh_frontalpole",0.0421676658549814,0.0158695677693785,0.726562298401528,0.841629984442246
"32","lh_temporalpole",0.0389592935321988,0.0325350453301478,0.544928369884083,0.705443936599802
"33","lh_transversetemporal",0.0261568986153019,0.00547802160045242,0.826836244153878,0.905211554836122
"34","lh_insula",0.00979558887166565,0.00763213421021971,0.562069343518967,0.719649668681374
"35","rh_bankssts",0.0208648516218697,0.00316605286208116,0.868250782479052,0.929485614037827
"36","rh_caudalanteriorcingulate",0.0264766097880113,0.00383869276811412,0.873374420030702,0.932409205769
"37","rh_caudalmiddlefrontal",0.0111375183335005,0.00584225034256167,0.655928743552437,0.792224468396089
"38","rh_cuneus",0.0137875717346555,0.00246837171463166,0.848155739324998,0.91785039388068
"39","rh_entorhinal",0.0518094959145174,0.0290057208958626,0.641085898910352,0.78129759677374
"40","rh_fusiform",0.00897942706771438,0.00292712136324939,0.754158698448896,0.859869103850785
"41","rh_inferiorparietal",0.00842480270635945,0.00397973501193881,0.679171033833192,0.808942488388186
"42","rh_inferiortemporal",0.0123793256021883,0.00419556226072436,0.746872359232536,0.85510960325516
"43","rh_isthmuscingulate",0.0178292206241942,0.00230871041892379,0.885355133356027,0.939197587294005
"44","rh_lateraloccipital",0.00988965715015697,0.00259548154348443,0.792114320299358,0.884004726141071
"45","rh_lateralorbitofrontal",0.00898913030817572,0.00512344029121934,0.636959102869682,0.778223946842409
"46","rh_lingual",0.0120128002109693,0.00213830431513794,0.848894882290424,0.918277729657488
"47","rh_medialorbitofrontal",0.00905488064261998,0.00470989741273459,0.657829759855633,0.793605773508807
"48","rh_middletemporal",0.0142965774913359,0.00514537578324979,0.735346767344834,0.847496822418658
"49","rh_parahippocampal",0.0346675177873707,0.00517004481995819,0.870221858929515,0.930613114640572
"50","rh_paracentral",0.0127250762761594,0.00354340650340537,0.782191950446889,0.877791270640995
"51","rh_parsopercularis",0.012130484725118,0.00310772436401963,0.796057112365328,0.886454279141765
"52","rh_parsorbitalis",0.0205692005131167,0.00551265976952994,0.788640085109353,0.881832992255085
"53","rh_parstriangularis",0.0105450293174925,0.00439887864452517,0.705640676073111,0.827423969261132
"54","rh_pericalcarine",0.0162923020865956,0.00389430204128794,0.807084836230143,0.893252274466437
"55","rh_postcentral",0.0141229872343059,0.00379887987067789,0.788031021074725,0.881452408272781
"56","rh_posteriorcingulate",0.0112997759618882,0.00195787779992405,0.852320943426387,0.920281562662639
"57","rh_precentral",0.0133569864135782,0.00569730780083968,0.700996125244634,0.824222239645735
"58","rh_precuneus",0.00797460031863055,0.00200429423587537,0.799146666504223,0.888362152489059
