"","site","ROI","time_var","error_var","ICC","ICC2"
"1","site20","lh_bankssts",0.0412450286836117,0.0012124047583669,0.971444228723252,0.98551673030446
"2","site20","lh_caudalanteriorcingulate",0.0295067501063294,0.000750823724414289,0.975185593907354,0.987436960686264
"3","site20","lh_caudalmiddlefrontal",0.178218402509058,0.00628162802619069,0.965953241265233,0.982682818159736
"4","site20","lh_cuneus",0.0546046709061033,0.00112954654584197,0.979733338019577,0.989763860149462
"5","site20","lh_entorhinal",0.00763906697167526,0.00124937714587744,0.859438037821468,0.924411090777828
"6","site20","lh_fusiform",0.146602640819605,0.00340730802295971,0.977286119692397,0.988512943856334
"7","site20","lh_inferiorparietal",0.546923293064301,0.007573451007447,0.986341757479342,0.993124022707192
"8","site20","lh_inferiortemporal",0.267436783079649,0.0046904019237782,0.982763934725158,0.991307349186482
"9","site20","lh_isthmuscingulate",0.0283219085101966,0.000968231612277508,0.966943428463335,0.983202295826565
"10","site20","lh_lateraloccipital",0.527711185861197,0.00668526828592904,0.987490058674513,0.993705828127685
"11","site20","lh_lateralorbitofrontal",0.105788820634831,0.00700455981826836,0.937899194171409,0.96795543594028
"12","site20","lh_lingual",0.185804905092795,0.0032509242777436,0.982804421907711,0.991328349575063
"13","site20","lh_medialorbitofrontal",0.0458337948764322,0.00929873790504384,0.831338459600606,0.907903324659708
"14","site20","lh_middletemporal",0.22497087659126,0.00283025754397651,0.987575753058822,0.993749029948759
"15","site20","lh_parahippocampal",0.00744485388462397,0.000749631844620466,0.908519964597024,0.952068794269038
"16","site20","lh_paracentral",0.0336184083802552,0.00175075815623412,0.950500440703687,0.974623450898825
"17","site20","lh_parsopercularis",0.086746703617401,0.00403947759769048,0.955505589687487,0.977248561308537
"18","site20","lh_parsorbitalis",0.0106885610325248,0.000468260445527626,0.958029224860433,0.97856662690144
"19","site20","lh_parstriangularis",0.0565786478212326,0.00214745066627361,0.963432771432441,0.981376757646834
"20","site20","lh_pericalcarine",0.067374951163486,0.0013697823242497,0.980074367085966,0.989937287835025
"21","site20","lh_postcentral",0.305469342695406,0.0116920671389009,0.963135278201061,0.98122177784272
"22","site20","lh_posteriorcingulate",0.0373393177386748,0.000924869256870601,0.975829376513912,0.987772598330466
"23","site20","lh_precentral",0.32576399735757,0.00682248110568444,0.979486595073834,0.989637054213817
"24","site20","lh_precuneus",0.30312616053165,0.00512003954480108,0.983389772384765,0.991625507489904
"25","site20","lh_rostralanteriorcingulate",0.0284469254937251,0.0017826048629758,0.941031010341824,0.969620708789072
"26","site20","lh_rostralmiddlefrontal",0.684171984205316,0.0340938193053674,0.9525331442222,0.975689603161315
"27","site20","lh_superiorfrontal",1.00777450359258,0.0293316230322042,0.971717819151582,0.985656106254299
"28","site20","lh_superiorparietal",0.605792563900977,0.0169323514898915,0.972809259640328,0.986217253789489
"29","site20","lh_superiortemporal",0.272931385534688,0.00407063535803839,0.985304672706288,0.992597574515079
"30","site20","lh_supramarginal",0.559704713396757,0.0170591484214959,0.970422646856346,0.984989337027226
"31","site20","lh_frontalpole",0.00132552752431795,0.000233071268813318,0.850461023170003,0.919088696033019
"32","site20","lh_temporalpole",0.0036354903604905,0.000824143595941031,0.815199273305272,0.898203245336918
"33","site20","lh_transversetemporal",0.0049873836533928,0.000211897464459934,0.959244853344755,0.979198559623856
"34","site20","lh_insula",0.063809982155741,0.010188604444271,0.862313526346875,0.926067440093921
"35","site20","rh_bankssts",0.0221685290663074,0.000802592616950634,0.965060799902706,0.982229196771599
"36","site20","rh_caudalanteriorcingulate",0.0306520858646683,0.0010028969022596,0.968317881906813,0.983899137673792
"37","site20","rh_caudalmiddlefrontal",0.197867063488982,0.0149759929912257,0.929638329580095,0.963537007031294
"38","site20","rh_cuneus",0.0557492649902813,0.00237162989270495,0.959194883398136,0.979173069000421
"39","site20","rh_entorhinal",0.0062994637149796,0.00129805750651468,0.829147235174241,0.906597623362654
"40","site20","rh_fusiform",0.142113213569216,0.00351197959098065,0.97588343393909,0.987795950929545
"41","site20","rh_inferiorparietal",0.846208821733564,0.0173776355264072,0.979877364471944,0.989836425678581
"42","site20","rh_inferiortemporal",0.23727143756122,0.00381326698569386,0.984182874675271,0.992029280417257
"43","site20","rh_isthmuscingulate",0.0224003915942369,0.00133543244233041,0.943737683584398,0.971056704789184
"44","site20","rh_lateraloccipital",0.567829173982008,0.00724191440350717,0.987406923161729,0.993663678992939
"45","site20","rh_lateralorbitofrontal",0.0991812775646341,0.0158449645898823,0.862249132953526,0.926030268019572
"46","site20","rh_lingual",0.206684938048669,0.00366049368600198,0.982597702950738,0.991222728322273
"47","site20","rh_medialorbitofrontal",0.0473420784913215,0.00706729488660459,0.870108871912283,0.930545556568466
"48","site20","rh_middletemporal",0.258043244296392,0.00245549897340325,0.990573854819483,0.995264598536699
"49","site20","rh_parahippocampal",0.00795035190375453,0.000840355507771624,0.904404108971962,0.949806984133293
"50","site20","rh_paracentral",0.0399436213198216,0.00277119828134833,0.935123259158692,0.96647490428383
"51","site20","rh_parsopercularis",0.0555291422332561,0.00417546189066848,0.930064658296674,0.96376633570796
"52","site20","rh_parsorbitalis",0.015200584946512,0.000680409398290503,0.957155743304374,0.978109870896252
"53","site20","rh_parstriangularis",0.0720189662217634,0.00572209973625625,0.926395404208296,0.961792220826196
"54","site20","rh_pericalcarine",0.0732759560253284,0.00253041171413753,0.966620063860148,0.98302755746417
"55","site20","rh_postcentral",0.289069402314347,0.0220462867622076,0.929137978133971,0.96326755988081
