"","comparison","ROI","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"39","timecon_v_con","lh_lateraloccipital",1709.5000682004,1668.95319309241,0,"sig"
"59","uncon_v_errcon","lh_lateraloccipital",1690.75462736412,1668.08642510773,0,"sig"
"69","errcon_v_con","lh_lateraloccipital",1709.5000682004,18.7454408362744,0.53842373070299,"nonsig"
"89","uncon_v_con","lh_lateraloccipital",1709.5000682004,1686.83186594401,0,"sig"
"110","uncon","lh_lateralorbitofrontal",55.3495912818611,NA,NA,NA
"210","uncon_v_timecon","lh_lateralorbitofrontal",82.366141052768,27.0165497709068,0.134799021338015,"nonsig"
"310","timecon_v_con","lh_lateralorbitofrontal",600.179377887787,517.813236835019,5.39650965226067e-97,"sig"
"510","uncon_v_errcon","lh_lateralorbitofrontal",575.072820108282,519.72322882642,2.14633387348574e-97,"sig"
"610","errcon_v_con","lh_lateralorbitofrontal",600.179377887787,25.1065577795056,0.197384842331794,"nonsig"
"810","uncon_v_con","lh_lateralorbitofrontal",600.179377887787,544.829786605926,8.07751633319828e-90,"sig"
"111","uncon","lh_lingual",20.8457690319388,NA,NA,NA
"211","uncon_v_timecon","lh_lingual",49.4194385943688,28.57366956243,0.0964996660836492,"nonsig"
"311","timecon_v_con","lh_lingual",956.763392939363,907.343954344994,2.14961552829364e-179,"sig"
"511","uncon_v_errcon","lh_lingual",927.548890439049,906.70312140711,2.94279851371336e-179,"sig"
"611","errcon_v_con","lh_lingual",956.763392939363,29.2145025003142,0.0836208681927319,"nonsig"
"811","uncon_v_con","lh_lingual",956.763392939363,935.917623907424,2.72195497103796e-170,"sig"
"112","uncon","lh_medialorbitofrontal",22.7902595204806,NA,NA,NA
"212","uncon_v_timecon","lh_medialorbitofrontal",35.8925259782557,13.1022664577751,0.87295323586501,"nonsig"
"312","timecon_v_con","lh_medialorbitofrontal",142.533397343715,106.640871365459,8.01516425165783e-14,"sig"
"512","uncon_v_errcon","lh_medialorbitofrontal",128.068594627092,105.278335106611,1.41451218099064e-13,"sig"
"612","errcon_v_con","lh_medialorbitofrontal",142.533397343715,14.464802716623,0.806169559902752,"nonsig"
"812","uncon_v_con","lh_medialorbitofrontal",142.533397343715,119.743137823234,6.94072188266926e-10,"sig"
"113","uncon","lh_middletemporal",67.0108663483701,NA,NA,NA
"213","uncon_v_timecon","lh_middletemporal",98.5424795148956,31.5316131665255,0.048552125900961,"sig"
"313","timecon_v_con","lh_middletemporal",3707.24034244828,3608.69786293338,0,"sig"
"513","uncon_v_errcon","lh_middletemporal",3663.27009433902,3596.25922799065,0,"sig"
"613","errcon_v_con","lh_middletemporal",3707.24034244828,43.9702481092522,0.00151879836998479,"sig"
"813","uncon_v_con","lh_middletemporal",3707.24034244828,3640.22947609991,0,"sig"
"114","uncon","lh_parahippocampal",53.7728724612351,NA,NA,NA
"214","uncon_v_timecon","lh_parahippocampal",99.1935372189917,45.4206647577566,0.000967328116700429,"sig"
"314","timecon_v_con","lh_parahippocampal",224.567909864794,125.374372645803,2.85861716697181e-17,"sig"
"514","uncon_v_errcon","lh_parahippocampal",180.443601010884,126.670728549649,1.63737812994815e-17,"sig"
"614","errcon_v_con","lh_parahippocampal",224.567909864794,44.1243088539099,0.00144829801801233,"sig"
"814","uncon_v_con","lh_parahippocampal",224.567909864794,170.795037403559,4.28733634972653e-18,"sig"
"115","uncon","lh_paracentral",57.2797154893054,NA,NA,NA
"215","uncon_v_timecon","lh_paracentral",123.140050031872,65.860334542567,8.50585416101436e-07,"sig"
"315","timecon_v_con","lh_paracentral",984.552371380486,861.412321348613,1.26971743838829e-169,"sig"
"515","uncon_v_errcon","lh_paracentral",917.884023831572,860.604308342267,1.88584271162923e-169,"sig"
"615","errcon_v_con","lh_paracentral",984.552371380486,66.6683475489132,6.31154930005524e-07,"sig"
"815","uncon_v_con","lh_paracentral",984.552371380486,927.27265589118,1.72071604430601e-168,"sig"
"116","uncon","lh_parsopercularis",37.3115715957687,NA,NA,NA
"216","uncon_v_timecon","lh_parsopercularis",73.3510584276918,36.0394868319231,0.015217540499299,"sig"
"316","timecon_v_con","lh_parsopercularis",1522.46891284674,1449.11785441905,3.26871583548228e-295,"sig"
"516","uncon_v_errcon","lh_parsopercularis",1482.54150991765,1445.22993832188,2.22916006059099e-294,"sig"
"616","errcon_v_con","lh_parsopercularis",1522.46891284674,39.9274029290905,0.00510203425717565,"sig"
"816","uncon_v_con","lh_parsopercularis",1522.46891284674,1485.15734125097,9.38500024555501e-286,"sig"
"117","uncon","lh_parsorbitalis",40.1976226357248,NA,NA,NA
"217","uncon_v_timecon","lh_parsorbitalis",62.1115707378715,21.9139481021467,0.345198259381678,"nonsig"
"317","timecon_v_con","lh_parsorbitalis",467.142949503506,405.031378765634,1.84738699985493e-73,"sig"
"517","uncon_v_errcon","lh_parsorbitalis",445.744298511379,405.546675875655,1.44413145467497e-73,"sig"
"617","errcon_v_con","lh_parsorbitalis",467.142949503506,21.3986509921265,0.374011313347519,"nonsig"
"817","uncon_v_con","lh_parsorbitalis",467.142949503506,426.945326867781,3.18182810980361e-66,"sig"
"118","uncon","lh_parstriangularis",21.6325364684195,NA,NA,NA
"218","uncon_v_timecon","lh_parstriangularis",49.9603003155474,28.3277638471279,0.101864726800218,"nonsig"
"318","timecon_v_con","lh_parstriangularis",1035.41774913612,985.457448820571,4.92414891831998e-196,"sig"
"518","uncon_v_errcon","lh_parstriangularis",1004.79806054488,983.165524076461,1.51681966902746e-195,"sig"
"618","errcon_v_con","lh_parstriangularis",1035.41774913612,30.6196885912383,0.0604155910067853,"nonsig"
"818","uncon_v_con","lh_parstriangularis",1035.41774913612,1013.7852126677,1.5282834414038e-186,"sig"
"119","uncon","lh_pericalcarine",35.5661312075894,NA,NA,NA
"219","uncon_v_timecon","lh_pericalcarine",63.0389128264706,27.4727816188812,0.122478908029102,"nonsig"
"319","timecon_v_con","lh_pericalcarine",701.254306391815,638.215393565345,2.51967771121098e-122,"sig"
"519","uncon_v_errcon","lh_pericalcarine",672.134621302251,636.568490094661,5.60917120612931e-122,"sig"
"619","errcon_v_con","lh_pericalcarine",701.254306391815,29.1196850895647,0.085429348661166,"nonsig"
"819","uncon_v_con","lh_pericalcarine",701.254306391815,665.688175184226,2.04444100579088e-114,"sig"
"120","uncon","lh_postcentral",49.4534412510078,NA,NA,NA
"220","uncon_v_timecon","lh_postcentral",83.075505111426,33.6220638604182,0.0287978772935834,"sig"
"320","timecon_v_con","lh_postcentral",1978.42802465788,1895.35251954645,0,"sig"
"520","uncon_v_errcon","lh_postcentral",1936.91028524207,1887.45684399106,0,"sig"
"620","errcon_v_con","lh_postcentral",1978.42802465788,41.5177394158095,0.00319457667976606,"sig"
"820","uncon_v_con","lh_postcentral",1978.42802465788,1928.97458340687,0,"sig"
"121","uncon","lh_posteriorcingulate",36.0603725847261,NA,NA,NA
