"","label","timeest","eest","ICC","ICC_lower95CI","ICC_higher95CI","ICC2","ICC2_lower95CI","ICC2_higher95CI","delta_CFI"
"1","lh_frontal",0.0751168623995919,0.00288158429199683,0.963055875928006,0.959819802843894,0.966821561381268,0.98118167133564,0.978999776071763,0.983030216573147,0.000575281482230072
"2","lh_insula",0.0636705129679814,0.0120111916723689,0.841293325388908,0.833127391842498,0.849619765312705,0.913809294393305,0.90930377118424,0.918770633497972,-2.22044604925031e-15
"3","lh_occipital",0.113966485607655,0.00254338117915764,0.9781702507324,0.97476713809654,0.981329154370245,0.988965018878557,0.987262855435756,0.99047769555677,0.000635232478188752
"4","lh_parietal",0.178431901684779,0.00756966496108201,0.959303219335274,0.954667854730287,0.964165905088097,0.979229541486866,0.976339865240918,0.981941999515919,0.000440398768496109
"5","lh_temporal",0.0463223359805367,0.00145936105089588,0.969457739227306,0.966350611422881,0.972207418919299,0.984492397885355,0.982505745286542,0.986052924626526,0.000320795894692139
"6","rh_frontal",0.076359064847054,0.00392507654895668,0.951110188379598,0.946665885340293,0.956389838764827,0.97494529998785,0.972453867672092,0.977254979941819,0.000223551834298563
"7","rh_insula",0.0579334860267784,0.0130038651334064,0.816685217015755,0.806731639259377,0.824493370756043,0.899095446314572,0.892986325563169,0.904152078237677,0.000342899420753606
"8","rh_occipital",0.123663510068782,0.00289668315575574,0.97711220975606,0.972182860230818,0.980633607484906,0.988423856707439,0.986136191974052,0.990527453000907,0.00015869159273274
"9","rh_parietal",0.186608066349088,0.00985592356424708,0.949833434775529,0.944441786597886,0.954416736388331,0.974271533128797,0.971035604211709,0.977096311148113,0.0016097541138006
"10","rh_temporal",0.0423665104644518,0.00109462869229982,0.974813621696573,0.972332610698014,0.977367826550819,0.987247539524828,0.985793685647344,0.988424055903876,0.000230142682682843
