"","label","timeest","eest","ICC","ICC2"
"1","lh_bankssts",0.345001522607285,0.0197710981679676,0.945798842780612,0.972144553432541
"2","lh_caudalanteriorcingulate",0.319912735769735,0.00980091431311774,0.970274466008141,0.98491338959428
"3","lh_caudalmiddlefrontal",1.96790060003379,0.0999664635866,0.951657209815229,0.975229876061879
"4","lh_cuneus",0.388428378937176,0.0158751089129856,0.960734672368523,0.979974222302783
"5","lh_entorhinal",0.139246913157743,0.028200637216751,0.831585250702799,0.908050046020031
"6","lh_fusiform",2.11067167645883,0.0952739401395992,0.956810385794319,0.9779285711953
"7","lh_inferiorparietal",5.28996034482362,0.178795985824138,0.967305914724681,0.983381285992328
"8","lh_inferiortemporal",3.8893674988031,0.159831487783617,0.960527628226454,0.97986645706876
"9","lh_isthmuscingulate",0.258233023591676,0.0112844684076691,0.958130849601048,0.978618362511753
"10","lh_lateraloccipital",3.77040519695241,0.137734924721509,0.964756912384576,0.982062362966757
"11","lh_lateralorbitofrontal",1.04303833571774,0.0902908971336741,0.920331273105428,0.958513032746581
"12","lh_lingual",1.33101680624738,0.0378942694582148,0.972317946628723,0.985964720840497
"13","lh_medialorbitofrontal",0.477503125674057,0.0818133743289935,0.853726156248658,0.921092019543543
"14","lh_middletemporal",3.43858786482709,0.159875578626216,0.955571153872057,0.977280884192804
"15","lh_parahippocampal",0.118273474453169,0.010446813811038,0.918840969423598,0.957705184927505
"16","lh_paracentral",0.332931963036283,0.0257887570700484,0.928109095392081,0.962714314479005
"17","lh_parsopercularis",1.00112077504071,0.0492749371755549,0.953089167632274,0.975981221744052
"18","lh_parsorbitalis",0.162638840026003,0.0119531078115733,0.931536889532309,0.96455527015407
"19","lh_parstriangularis",0.647557965303705,0.0283017502753504,0.958124815515743,0.978614650400993
"20","lh_pericalcarine",0.207952273800709,0.00938088192658623,0.956836397579589,0.97794228327835
"21","lh_postcentral",2.7688896017445,0.12575692464688,0.956555343286195,0.977795334968186
"22","lh_posteriorcingulate",0.363566062953871,0.0122922899544609,0.967295418980727,0.98337598333317
"23","lh_precentral",3.28040171358313,0.176221583865472,0.949019152883814,0.973842817984214
"24","lh_precuneus",2.49791061208551,0.113503002873299,0.956535800294857,0.977785124621321
"25","lh_rostralanteriorcingulate",0.347702592128348,0.0250907503980642,0.932695283054078,0.965175737352512
"26","lh_rostralmiddlefrontal",6.54334778638637,0.462180312955461,0.934026342282621,0.96588792259886
"27","lh_superiorfrontal",11.5551390473543,0.505110369197412,0.958117750989114,0.978610964368942
"28","lh_superiorparietal",5.31845479876345,0.367935849730457,0.935295361772602,0.966566018991333
"29","lh_superiortemporal",3.5771594183656,0.125099117014496,0.966210053722882,0.982814679015866
"30","lh_supramarginal",6.21063227877849,0.271719068557812,0.958083254979774,0.97859297023153
"31","lh_frontalpole",0.02914406532938,0.00804339689329164,0.783706754574182,0.878745790668582
"32","lh_temporalpole",0.120114609522435,0.0384862908582889,0.757338761848754,0.861915678726732
"33","lh_transversetemporal",0.066054055708079,0.00343595631353333,0.950554673778662,0.974650817764956
"34","lh_insula",0.687851403529787,0.08175744663705,0.893767533183478,0.943904178627279
"35","rh_bankssts",0.215358184052837,0.0125901745054373,0.944767426336967,0.971600193985329
"36","rh_caudalanteriorcingulate",0.32525244778248,0.012224589762676,0.963776528762967,0.981554370117995
"37","rh_caudalmiddlefrontal",1.98338910210549,0.161533132754488,0.92469044791965,0.960871862320795
"38","rh_cuneus",0.444571079194439,0.0227213070927405,0.951376680298025,0.975082565049717
"39","rh_entorhinal",0.134135252293827,0.0260705412580055,0.837268424068754,0.911427888080373
"40","rh_fusiform",2.05798698654158,0.0901609120487117,0.95802853606687,0.978564426478828
"41","rh_inferiorparietal",7.62781994170207,0.309658203444621,0.960987835458299,0.980105874609321
"42","rh_inferiortemporal",3.34805776338026,0.141072816738465,0.959567917136061,0.979366840778754
"43","rh_isthmuscingulate",0.218563315379846,0.0118303285720849,0.948651671247697,0.973650230130496
"44","rh_lateraloccipital",4.28697113590318,0.158352159085959,0.964377808186762,0.98186591241589
"45","rh_lateralorbitofrontal",1.00416134457925,0.133206467227236,0.882881803191121,0.937798435143528
"46","rh_lingual",1.4627570541582,0.0433789294145003,0.971198530618994,0.985388862585612
"47","rh_medialorbitofrontal",0.526786869053557,0.0762992726239818,0.873485282862331,0.932470971180698
"48","rh_middletemporal",3.73883823791266,0.149970225985013,0.961435430061088,0.980338598888224
"49","rh_parahippocampal",0.0804166705759648,0.00914495833248108,0.897892005271259,0.946199854336918
"50","rh_paracentral",0.430265697493929,0.0363895997686152,0.922020386392095,0.959428307761067
"51","rh_parsopercularis",0.624934947783003,0.052072774973261,0.923083927667383,0.960003836234513
"52","rh_parsorbitalis",0.22403499111292,0.0145159229463802,0.939149581532219,0.968620503356961
"53","rh_parstriangularis",0.836867993966053,0.0603525116658594,0.932733914030026,0.965196420083984
"54","rh_pericalcarine",0.233139078967302,0.0119965489920664,0.95106158540914,0.974917723606968
"55","rh_postcentral",2.41202115136828,0.129264595349547,0.949134175282533,0.973903374136594
"56","rh_posteriorcingulate",0.40435432819218,0.0132738688317232,0.968216061735498,0.983851462421231
"57","rh_precentral",3.28387281308475,0.274619401907568,0.922827033103918,0.959864842557273
"58","rh_precuneus",2.74135454150732,0.144098700658242,0.950060289124597,0.974390683485532
"59","rh_rostralanteriorcingulate",0.221263234653233,0.0153087316336926,0.93528932496116,0.966563205849472
"60","rh_rostralmiddlefrontal",7.30444864817958,0.646798670906771,0.91865443936649,0.957602805566496
