"","user.self","sys.self","elapsed","user.child","sys.child"
"time_out_CT",0.68,0.31,7.02000000001863,NA,NA
"time_out_SA",0.130000000000003,0.140000000000001,4.21999999997206,NA,NA
"time_out_GM",0.0600000000000023,0.140000000000001,2.93999999994412,NA,NA
"time_between_error_CT",1.2,0.62,66.3100000000559,NA,NA
"time_between_error_SA",4.47,1.47,75.0900000000838,NA,NA
"time_between_error_GM",1.24,0.36,55.3100000000559,NA,NA
"time_sites_LRTs_CT",7.77,2.84,2616.91000000015,NA,NA
"time_sites_LRTs_SA",0.700000000000003,0.92,3358.54000000004,NA,NA
"time_sites_LRTs_GM",0.560000000000002,0.460000000000001,1615.85999999987,NA,NA
"time_scanners_LRTs_CT",0.149999999999999,0.19,76.8700000001118,NA,NA
"time_between_error_CT_scanner",0.159999999999997,0.210000000000001,12.7800000000279,NA,NA
"time_sites_LRTs_CT_Philips",0.0200000000000031,0.0800000000000001,60.3100000000559,NA,NA
"time_sites_LRTs_CT_GE",0.109999999999999,0.110000000000001,135.979999999981,NA,NA
"time_sites_LRTs_CT_Siemens",0.199999999999996,0.32,1117.07000000007,NA,NA
"time_scanners_LRTs_SA",0.130000000000003,0.26,83.8899999998976,NA,NA
"time_between_error_SA_scanner",0.189999999999998,0.190000000000001,12.7099999999627,NA,NA
"time_sites_LRTs_SA_Philips",0.119999999999997,0.0599999999999987,81.7600000000093,NA,NA
"time_sites_LRTs_SA_GE",0.0600000000000023,0.0899999999999999,188.619999999879,NA,NA
"time_sites_LRTs_SA_Siemens",0.390000000000001,0.299999999999999,1309.19999999995,NA,NA
