"","label","timeest","eest","ICC","ICC2"
"1","lh_bankssts",0.0401304864285148,0.00224933058258172,0.946924485728837,0.972740156289417
"2","lh_caudalanteriorcingulate",0.0256751094219523,0.00080758170532251,0.96950530059648,0.984522644426649
"3","lh_caudalmiddlefrontal",0.174249059242513,0.0114655849581871,0.938262354013417,0.96814807430647
"4","lh_cuneus",0.0497240049386346,0.00177597814721572,0.965514976106785,0.982457836745729
"5","lh_entorhinal",0.008251098028659,0.00125084918953106,0.868358646832252,0.929542755515989
"6","lh_fusiform",0.164606063783867,0.00484739276064395,0.971393957612363,0.985489839394052
"7","lh_inferiorparietal",0.54372531681054,0.0223635445748957,0.960494639445539,0.979849295869859
"8","lh_inferiortemporal",0.262295492815935,0.0099548297200096,0.963435012207579,0.981377817749211
"9","lh_isthmuscingulate",0.0301418540909258,0.00154993032742746,0.951093623919457,0.974936327756287
"10","lh_lateraloccipital",0.467988113800893,0.0131705584735979,0.972627411221044,0.986123828610285
"11","lh_lateralorbitofrontal",0.0960865288367988,0.00877645032037755,0.916305540898063,0.956325695700332
"12","lh_lingual",0.176497003475589,0.00532095043431883,0.970734735927369,0.985150321311913
"13","lh_medialorbitofrontal",0.0473046227012725,0.00980725889034522,0.828279884727443,0.906076184634403
"14","lh_middletemporal",0.216848782541804,0.0119107266367667,0.947933414092661,0.973271788003179
"15","lh_parahippocampal",0.0073289869022543,0.000747016755571941,0.907501681868603,0.951509284251861
"16","lh_paracentral",0.0334441306766848,0.00190104600848411,0.946214839285786,0.972365049493848
"17","lh_parsopercularis",0.0907991466672953,0.00468869916499914,0.950897424440447,0.974832278778469
"18","lh_parsorbitalis",0.0105002444210376,0.00062304810521271,0.943987079028772,0.971191982121684
"19","lh_parstriangularis",0.0581056120798611,0.0024415201263186,0.959675709858486,0.979423467205012
"20","lh_pericalcarine",0.0614088235752329,0.00231488846565385,0.963673044279521,0.981501982544011
"21","lh_postcentral",0.294368879062644,0.0178426953907999,0.942850628065166,0.97058486543628
"22","lh_posteriorcingulate",0.0413207004167366,0.00143833793164888,0.966361780170784,0.982893994789837
"23","lh_precentral",0.319236624401422,0.0267964340449285,0.922561057705754,0.95972096451127
"24","lh_precuneus",0.299419664021185,0.00919460082569386,0.97020681843642,0.984878744169202
"25","lh_rostralanteriorcingulate",0.0267728279728972,0.00195483180907051,0.93195297410555,0.964779801333921
"26","lh_rostralmiddlefrontal",0.662995663140594,0.0455766881507451,0.935678144839149,0.966770437327573
"27","lh_superiorfrontal",1.0314550724518,0.0502053127590863,0.95358495749172,0.976241112323321
"28","lh_superiorparietal",0.609599461252787,0.0432433115156272,0.933761522192776,0.965746305274456
"29","lh_superiortemporal",0.296340848933673,0.0129143229275829,0.958240559568146,0.978675248564133
"30","lh_supramarginal",0.614675672411644,0.0321222555535598,0.950336489706121,0.974535929413953
"31","lh_frontalpole",0.00131967134139917,0.000248539551029095,0.841513949285067,0.913947754268779
"32","lh_temporalpole",0.00382216700343734,0.000783544284035978,0.829875509963668,0.907048062642456
"33","lh_transversetemporal",0.00521738567247938,0.000278366007599103,0.949348874584681,0.974016525834888
"34","lh_insula",0.0614835678508375,0.0119912759377588,0.836797530699617,0.911150649946194
"35","rh_bankssts",0.0243595953153761,0.00134686612461627,0.947605930603856,0.97310625390507
"36","rh_caudalanteriorcingulate",0.0269718211821639,0.000983533310149451,0.964817712813483,0.982096575703004
"37","rh_caudalmiddlefrontal",0.173722474916916,0.01876402750246,0.902517697258698,0.948761951508721
"38","rh_cuneus",0.0527721191896865,0.00221154511987347,0.959778142332923,0.979477032261832
"39","rh_entorhinal",0.00679920459423495,0.000902351962454694,0.882835118353977,0.937776752232047
"40","rh_fusiform",0.161295791422912,0.00424003686076018,0.974385986981053,0.987027501869002
"41","rh_inferiorparietal",0.79208848831134,0.0357003663218158,0.956872617791361,0.977961115654035
"42","rh_inferiortemporal",0.223600147959607,0.00768143240481271,0.966787530625182,0.983113535017276
"43","rh_isthmuscingulate",0.0229514586685573,0.00176305597257743,0.928663135886836,0.963016863182237
"44","rh_lateraloccipital",0.505618675143748,0.0149583826772091,0.971265766609419,0.985423481432837
"45","rh_lateralorbitofrontal",0.0983867195882594,0.0185647418729877,0.84126113824461,0.913788200195664
"46","rh_lingual",0.19742776590642,0.00536366285097962,0.973550840467739,0.98659939950933
"47","rh_medialorbitofrontal",0.0491740128997558,0.00704780226411443,0.874642925640659,0.933132321313402
"48","rh_middletemporal",0.241548448654218,0.0105690266976634,0.958078960282653,0.978591618979095
"49","rh_parahippocampal",0.00689619221364669,0.000668521847862717,0.911626289846926,0.95377236637642
"50","rh_paracentral",0.0440587651376385,0.00299325836325213,0.936384067240052,0.967147487349274
"51","rh_parsopercularis",0.056417711981303,0.00394580621666667,0.934632600377501,0.966216059801879
"52","rh_parsorbitalis",0.0152391504643791,0.000802252739524561,0.949988618244485,0.974354985064819
"53","rh_parstriangularis",0.0765313087013783,0.00529579031128602,0.935280727592868,0.96655926119563
"54","rh_pericalcarine",0.0673850872462138,0.0025688747936404,0.963277636909588,0.981295499804504
"55","rh_postcentral",0.28049568729412,0.0217357460881418,0.928082443824926,0.96270001085906
"56","rh_posteriorcingulate",0.042319655995519,0.00172114613543193,0.96091928275252,0.980070613123863
"57","rh_precentral",0.324792189411247,0.035449972730043,0.901594048516344,0.948250820118141
"58","rh_precuneus",0.338061357748819,0.011098915315592,0.968212548300005,0.983849803157525
"59","rh_rostralanteriorcingulate",0.0154583536113064,0.0010726483486064,0.935112925931075,0.966469941800315
