"","site","ROI","time_var","error_var","ICC","ICC2"
"1","site01","lh_bankssts",0.40543449245489,0.0148095898419415,0.964759551732412,0.982063760589828
"2","site01","lh_caudalanteriorcingulate",0.362786519706315,0.0100373437333992,0.973077518051571,0.98635529952827
"3","site01","lh_caudalmiddlefrontal",1.80725957488066,0.14206919589303,0.927118914970591,0.962181321649705
"4","site01","lh_cuneus",0.35785747747799,0.0179514162016843,0.952232593470804,0.975531949072376
"5","site01","lh_entorhinal",0.158972538617716,0.0387102048773017,0.804180151525076,0.891463316995943
"6","site01","lh_fusiform",2.12274459166094,0.128083240209346,0.943095052231109,0.970714266384746
"7","site01","lh_inferiorparietal",5.62336747540925,0.162595206738677,0.971898331242206,0.985748933584137
"8","site01","lh_inferiortemporal",4.02029464922228,0.202963590466275,0.951941468187074,0.975379111498291
"9","site01","lh_isthmuscingulate",0.210267801803977,0.0330664241668858,0.864111084106824,0.92710261700431
"10","site01","lh_lateraloccipital",3.15981131945787,0.12306897741038,0.962511890083905,0.980897902617314
"11","site01","lh_lateralorbitofrontal",1.11320979892179,0.115057597556864,0.906325285612298,0.950861108920382
"12","site01","lh_lingual",1.18297314809543,0.0443445124967663,0.96386875711104,0.981602018156206
"13","site01","lh_medialorbitofrontal",0.453850035167206,0.0577877095164962,0.887053466799599,0.940146709551351
"14","site01","lh_middletemporal",3.87132647397876,0.105441086833445,0.973485730503216,0.986564752211059
"15","site01","lh_parahippocampal",0.0981591368728831,0.0102783247798251,0.905214262459007,0.950251463237254
"16","site01","lh_paracentral",0.302267404785885,0.0259156273563774,0.921033006529285,0.95889349915167
"17","site01","lh_parsopercularis",0.888566249492657,0.0389516668188687,0.958004404945871,0.978551870953538
"18","site01","lh_parsorbitalis",0.160632177288558,0.0147967446143078,0.915653904420044,0.955970142062413
"19","site01","lh_parstriangularis",0.470471803727362,0.0338752791195407,0.932833399316352,0.96524966904321
"20","site01","lh_pericalcarine",0.196922962727305,0.00839074404486745,0.959132080479272,0.979139990999023
"21","site01","lh_postcentral",2.33090767108074,0.0985224126378485,0.959446286065971,0.979303486687227
"22","site01","lh_posteriorcingulate",0.343266223790089,0.0217665360857106,0.940371006445787,0.969269306553203
"23","site01","lh_precentral",2.82258714070273,0.162090418976159,0.945692485792804,0.972088332140845
"24","site01","lh_precuneus",2.10556855579352,0.154628519136443,0.93158626703327,0.964581579570431
"25","site01","lh_rostralanteriorcingulate",0.340804744846469,0.0373538401466872,0.901221758201356,0.948044867947419
"26","site01","lh_rostralmiddlefrontal",6.61150615996317,0.712984739970338,0.902657433846111,0.948838625754918
"27","site01","lh_superiorfrontal",11.8674832636326,0.601626403638807,0.951750652637378,0.975278937955795
"28","site01","lh_superiorparietal",5.5495852997532,0.474467352024649,0.921237847766051,0.959004468197363
"29","site01","lh_superiortemporal",3.88847047481279,0.147708857522089,0.963403792210431,0.981360841437919
"30","site01","lh_supramarginal",4.9834051584266,0.299791586839588,0.943255645910176,0.970799328770407
"31","site01","lh_frontalpole",0.0320231975906845,0.0095480247604245,0.770321289093156,0.870263603042054
"32","site01","lh_temporalpole",0.120630963261548,0.0401951120651746,0.750070926101273,0.8571893148714
"33","site01","lh_transversetemporal",0.0536505025385419,0.00391260314837689,0.932029325004505,0.964822204287567
"34","site01","lh_insula",0.751153323522986,0.0904142460192778,0.89256448407529,0.943232843727543
"35","site01","rh_bankssts",0.144802113787493,0.015411186181805,0.90380832187616,0.949474168154544
"36","site01","rh_caudalanteriorcingulate",0.3750900672509,0.0130051954675495,0.966489682516469,0.982959413364772
"37","site01","rh_caudalmiddlefrontal",1.68352516887179,0.121335111947354,0.932773127517502,0.965217399815675
"38","site01","rh_cuneus",0.446312912883165,0.024241141012026,0.948483833448335,0.973560904405298
"39","site01","rh_entorhinal",0.124243845442668,0.0333855738524725,0.788202138904271,0.881558478948851
"40","site01","rh_fusiform",1.87848775458213,0.115888755498477,0.941892238043962,0.970076733422687
"41","site01","rh_inferiorparietal",8.4057111219418,0.249687738969102,0.971152370562987,0.985365096882122
"42","site01","rh_inferiortemporal",3.25896406409935,0.15862307413512,0.953586238559797,0.976241770971985
"43","site01","rh_isthmuscingulate",0.159848499023114,0.021004972274898,0.883856405275817,0.938348478609013
"44","site01","rh_lateraloccipital",3.51421677835437,0.14377587901238,0.960695416180556,0.979953755462618
"45","site01","rh_lateralorbitofrontal",1.04951872172133,0.157096906745395,0.869803686410873,0.930368993964826
"46","site01","rh_lingual",1.5153224157419,0.0400836334175445,0.974229473108192,0.986946546327843
"47","site01","rh_medialorbitofrontal",0.554443689161208,0.117367821756289,0.82529650080571,0.904287617695004
"48","site01","rh_middletemporal",2.96971949962789,0.111788832349639,0.963722690219728,0.981526257597913
"49","site01","rh_parahippocampal",0.0687819979378285,0.0115088496339709,0.856660503880231,0.922799150713781
"50","site01","rh_paracentral",0.456140332084817,0.0313280850245628,0.935733097930048,0.966799716866082
"51","site01","rh_parsopercularis",0.667597619437122,0.0358804482197788,0.948995640561635,0.973830438665846
"52","site01","rh_parsorbitalis",0.239079260151101,0.0172922044294038,0.932550198370561,0.965098247718237
"53","site01","rh_parstriangularis",0.989850778398525,0.0513154299928564,0.950713508007392,0.974734126373425
"54","site01","rh_pericalcarine",0.188826864540097,0.0128528196679983,0.936271123596482,0.967087960804141
"55","site01","rh_postcentral",1.46832102870142,0.108529054097614,0.931173511495166,0.964360285533395
"56","site01","rh_posteriorcingulate",0.556861967941293,0.0305744140410026,0.947952808203963,0.973281084175743
